ID,Title,Author,Year,Format,File
1,Analisis Korelasi dan Regresi Linear,Nur Fauziyah,2018,PDF,ebook/BUKU 3 ANALISIS KORELASI DAN REGRESI LINIER.pdf
2,Buku Ajar Internet of Things,Rani Tyas Budiyanti,2021,PDF,ebook/Buku Ajar Internet of Things.pdf
3,Laskar Pelangi,Andrea Hirata,2005,PDF,ebook/Laskar Pelangi.pdf
4,Bulan,Tere Liye,2015,PDF,ebook/Bulan Tere Liye.pdf
5,Laut Bercerita,Leila S Chudori,2017,PDF,ebook/Laut Bercerita.pdf
6,Mari Mengenal Cita-Cita,Erfanda Zaki,2025,PDF,ebook/Mari Mengenal Cita-Cita.pdf
7,Layar Terkembang,Takdir Alisyahbana,1995,PDF,ebook/Layar Terkembang.pdf
8,Tenggelamnya Kapal Van Der Wijck,Hamka,1984,PDF,ebook/Tenggelamnya Kapal Van Der Wijck.pdf
9,Alice in Wonderland,Leeis Carrol,2000,PDF,ebook/Alice in Wonderland.pdf
10,Mata yang Enak Dipandang,Ahmad Tohari,2017,PDF,ebook/Mata yang Enak Dipandang.pdf
11,Rangkuman Materi Beyond the Bookshelf VR,Erfanda Zaki,2025,PDF,ebook/Rangkuman Materi Beyond the Bookshelf VR.pdf
